pxd,ms_run
PXD000997,jon_velos_66-1
PXD001177,MPK3-CDKC2
PXD001179,F007349
PXD001340,033010Rlr1mycIIrTopBandp48po4chymo
PXD001344,qe1_2013nov03_29_90t15_c13ac7 (C13Ac_7_PhospoST_F003622)
PXD001386,20131201-pM-B64
PXD001447,Mudpit_GFP_MITO_MOCK1_01
PXD001572,20130101_IFIXGFP
PXD001578,20120809_JR_Tf1_3h
PXD001649,o59496
PXD001767,Mudpit_chenj4_JSC20131216_pREP1HBHUb_ubp9ko_0
PXD001830,Asynchronous_cells_Scc2_band_excision_ITMSms2cid
PXD001844,qe+00156
PXD002266,Mudpit_130830_001_UL01504-LS-01
PXD002471,Tackett_052015_WM115_3rep3
PXD002486,11q13_group1_hhN1_f2_110920093004
PXD002538,25_TMT_PP
PXD002796,cha1-2
PXD002864,LTB1_3
PXD002990,F151237
PXD003182,MPI_SB1_psTY2
PXD003209,01112016_DM798_Run3-01
PXD003551,1407374883576189
PXD003599,Mudpit_20140314_IFIX-GFP_HSV1wt_2hpi_8hpi11
PXD003780,SID1736_180113_Sample2_130314000633 (F009598)
PXD003922,012915BW2-01
PXD005415,1387_18-01
PXD006036,SKU_FiB_1
PXD006066,MP_Heart_iTRAQ_02_Phos2_12May14_Frodo_14-01-36
PXD006123,281474976714231
PXD006268,JB_150224_Qexactive_C01
PXD007221,AZDinsens_progenesis
PXD007690,020717_Aq_S3M1
PXD008832,CPTAC_SEER_P_TMT2_03_08Aug16_Arwen_16-05-10
PXD008875,QEplus018193
PXD009228,QEplus016265
PXD009401,mgf (F047664)
PXD009863,PR221_AUS_270712_JP334
PXD010471,Pregnyl_116935_2
PXD010827,qe3_140915_07_uc_yk2_1 (140915_YK2_Yeast_PTM_F003729)
PXD010908,F028157
PXD011156,2017_S28_RJanel_1a_dil6x
PXD011170,20171207_E22_CTRL3
PXD011199,AG-151105_Spot25
PXD011431,20170524_C3P0_1314_17
PXD011583,qe1_2015aug31_12_at28-1 (AT28_HSPA1A_Human_F005263)
PXD011761,Evren_ctrl3
PXD012188,GH_120317_NonT_3_9_ETHCD
PXD012191,20181008_C3P0_4141_11
PXD012407,ML_170312_Qex_E02
PXD012753,20170329_MouseSkinUrea_MGFfile
PXD012754,20170411_MouseSkinNaCl_MGFexport
PXD012770,LF18-020_Marquez_Khokha_rnk10_iso2_F508894_PRIDE_export
PXD012812,030116_Ritin_1205Lu_HDAC8_Normal_pY_Run1
PXD012813,20160326_Ritin-TMT-IMAC-fx04-2
PXD012962,20151110_Rix-NS-pY-DMSO2-run1
PXD012963,20151112_Rix-NS-TMT-IMAC01-run2
PXD012973,Tackett_031716_50ugTMT_SF24_09
PXD013210,TTB20160722_ISBHJOMXX001885_r01
PXD013503,Holz_MCF7_TMT_PP_04_17Nov17_Elm_AQ-17-10-03
PXD013964,Benz_Ncrassa_A_04_02_14_phos_11may17_Pippin_16-11-31
PXD014329,E4ORF4_3
PXD014513,QE2_S14_JOSE_ON_Positive_2B
PXD014552,Lewis_lysate_F3
PXD015059,Andy0016_phos_2_24Nov13_Pippin_13-07-06
PXD015060,20190116_R2D2_4176_4
PXD015635,20190611_SDM_TFCP2L1_E01
PXD015673,qe2_062414_08_uc_xw7_kof1a (Xwu7_1_KOF1A_F003482)
PXD015836,2019_S17_Cstoetzel_PSMC3_S1
PXD015894,20161213_Raksha_NHR2B_GFP_01
PXD017119,008_BXBID-4 (F060500)
PXD017308,20181022_LU50CM228_pl18074_MB_K5-30 (F009633)
PXD017317,24031_180227_06 (F075002)
PXD017469,LUM2_01202_MRL
PXD017515,305
PXD017519,E_LC_120_GA8_01_4039_DA4
PXD017943,190322OLc1_LZ-1818-Spiked-FFPE-CTRL-1-2-I_016 (F140607)
PXD018265,Ingel21749_0 (F064793)
PXD018374,GLS_190523_Qex_B02
PXD018672,2019_S24_GAG_URT1_17-1_dil4
PXD019893,QE1_Hemalvi_Exp2_Sample9
PXD021023,Identification (Trial4_MYTED_Byssus_T2_rep2
PXD021100,Natalie-1
